ID,City,District,Neighborhood,Condition,Type,Rooms,Area_m2,Lift,Views,Floor_number,Price,Latitude,Longitude
45,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,3,104,Yes,Exterior,Floor 1,470000,41.4063,2.165
46,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,2,71,Yes,Interior,Floor 2,370000,41.4036,2.1996
47,Barcelona,Sants-Montjuïc,El Poble Sec - Aei Parc De Montjuïc,Good Condition,Flat,4,228,Yes,Interior,Ground Floor,650000,41.3747,2.1603
48,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,160,Yes,Exterior,Floor 7,880000,41.3913,2.1397
49,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,House,5,380,No,Exterior,Multiple,1750000,41.3986,2.1253
50,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Detached,6,585,No,Exterior,Multiple,2350000,41.3978,2.1353
51,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,7,271,Yes,Exterior,Floor 1,1800000,41.3948,2.1693
52,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,82,Yes,Exterior,Floor 3,380000,41.386,2.157
53,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,175,Yes,Exterior,Floor 4,1600000,41.3948,2.1693
54,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,2,84,Yes,Exterior,Floor 3,475000,41.38339,2.17691
55,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,1,63,Yes,Exterior,Floor 1,335000,41.386,2.157
56,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Penthouse,4,189,Yes,Exterior,Floor 7,1175000,41.3948,2.1693
57,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,150,Yes,Exterior,Ground Floor,780000,41.3913,2.1397
58,Barcelona,Horta-Guinardó,El Carmel,Good Condition,Flat,3,50,Yes,Exterior,Mezzanine,135000,41.4256,2.15496
59,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Penthouse,3,130,Yes,Exterior,Floor 9,530000,41.3782,2.1211
60,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,3,223,Yes,Exterior,Floor 8,1995000,41.3948,2.1693
61,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,3,153,Yes,Exterior,Floor 8,1495000,41.3948,2.1693
62,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,3,85,Yes,Exterior,Floor 2,339000,41.4037,2.1735
63,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,160,Yes,Exterior,Floor 4,850000,41.3913,2.1397
64,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,2,120,Yes,Exterior,Floor 3,575000,41.3835,2.1487
65,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,4,206,Yes,Exterior,Floor 11,1250000,41.3903,2.1078
66,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Flat,4,232,Yes,Exterior,Floor 2,1175000,41.3978,2.1353
67,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,203,Yes,Exterior,Floor 1,1095000,41.3913,2.1397
68,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,1,59,Yes,Exterior,Floor 4,480000,41.3948,2.1693
69,Barcelona,Eixample,Sant Antoni,Good Condition,Penthouse,4,167,Yes,Exterior,Floor 6,695000,41.3788,2.1629
70,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,5,232,Yes,Exterior,Floor 2,1660000,41.3903,2.1078
71,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,4,800,Yes,Exterior,Ground Floor,1700000,41.3948,2.1693
72,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,2,86,No,Exterior,Ground Floor,298000,41.3845,2.1815
73,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Flat,4,105,Yes,Exterior,Floor 2,425000,41.4072,2.145
74,Barcelona,Ciutat Vella,El Raval,Good Condition,Flat,3,145,Yes,Exterior,Floor 1,680000,41.3809,2.169
75,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,155,Yes,Exterior,Floor 4,875000,41.3913,2.1397
76,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,148,Yes,Exterior,Floor 3,995000,41.3948,2.1693
77,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,4,102,Yes,Exterior,Floor 3,440000,41.386,2.157
78,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,250,Yes,Exterior,Floor 2,1100000,41.3913,2.1397
79,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,101,Yes,Exterior,Floor 3,625000,41.386,2.157
80,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Flat,3,100,Yes,Exterior,Floor 2,385000,41.3782,2.1211
81,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Penthouse,2,88,Yes,Exterior,Floor 4,710000,41.38339,2.17691
82,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,1,77,Yes,Exterior,Floor 1,260000,41.3835,2.1487
83,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,87,Yes,Exterior,Floor 5,399000,41.3835,2.1487
84,Barcelona,Sant Martí,El Clot,Good Condition,Flat,1,60,Yes,Exterior,Floor 1,179000,41.40995,2.19082
85,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo I Les Planes,Good Condition,Detached,4,243,No,Exterior,Multiple,650000,41.4197,2.0891
86,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,3,118,Yes,Exterior,Floor 2,445000,41.3985,2.1802
87,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Semi-Detached,5,311,No,Exterior,Multiple,960000,41.4072,2.145
88,Barcelona,Sarrià-Sant Gervasi,Les Tres Torres,Good Condition,Flat,3,118,Yes,Exterior,Floor 2,795000,41.394,2.13
89,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,72,Yes,Exterior,Floor 5,450000,41.386,2.157
90,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,3,68,No,Exterior,Floor 3,233150,41.3845,2.1815
91,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,87,Yes,Exterior,Floor 5,365000,41.3835,2.1487
92,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,90,Yes,Exterior,Floor 1,690000,41.386,2.157
93,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo I Les Planes,Good Condition,Detached,5,380,No,Exterior,Multiple,830000,41.4197,2.0891
94,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,225,Yes,Exterior,Floor 6,1100000,41.3913,2.1397
95,Barcelona,Sant Martí,El Besòs I El Maresme,Good Condition,Flat,3,94,Yes,Exterior,Floor 7,359000,41.4131,2.2174
96,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,House,6,296,No,Exterior,Multiple,1350000,41.3986,2.1253
97,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,1,81,No,Exterior,Mezzanine,430000,41.38339,2.17691
98,Barcelona,Horta-Guinardó,La Font D'En Fargues,Good Condition,Rustic,5,161,No,Exterior,Multiple,490000,41.4244,2.1655
99,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Penthouse,3,140,Yes,Exterior,Floor 5,1050000,41.3913,2.1397
100,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,134,Yes,Exterior,Floor 4,595000,41.3913,2.1397
101,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,1,86,Yes,Exterior,Floor 4,390000,41.3845,2.1815
102,Barcelona,Les Corts,Les Corts,Good Condition,Flat,4,170,Yes,Exterior,Floor 1,668000,41.384,2.134
103,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Duplex,3,197,Yes,Exterior,Floor 2,800000,41.4072,2.145
104,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Penthouse,4,145,Yes,Exterior,Floor 5,760000,41.3913,2.1397
105,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Duplex,3,170,Yes,Exterior,Ground Floor,490000,41.3782,2.1211
106,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,4,101,Yes,Interior,Floor 3,309000,41.4037,2.1735
107,Barcelona,Horta-Guinardó,La Font D'En Fargues,Good Condition,Flat,4,122,No,Exterior,Floor 2,449000,41.4244,2.1655
108,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Penthouse,2,213,Yes,Exterior,Floor 7,1500000,41.3948,2.1693
109,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,105,Yes,Exterior,Floor 2,630000,41.3913,2.1397
110,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,318,Yes,Exterior,Floor 4,2500000,41.3948,2.1693
111,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,3,80,Yes,Exterior,Floor 2,365000,41.3788,2.1629
112,Barcelona,Sant Martí,Provençals Del Poblenou,Good Condition,Flat,4,90,Yes,Exterior,Floor 4,370000,41.4078,2.204
113,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,4,109,Yes,Exterior,Floor 7,475000,41.3835,2.1487
114,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,110,Yes,Exterior,Floor 3,645000,41.386,2.157
115,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,4,97,Yes,Exterior,Floor 2,495000,41.3985,2.1802
116,Barcelona,Eixample,Sant Antoni,Good Condition,Penthouse,3,101,Yes,Exterior,Floor 5,480000,41.3788,2.1629
117,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,3,130,Yes,Exterior,Mezzanine,630000,41.4063,2.165
118,Barcelona,Gràcia,Vallcarca I Els Penitents,Good Condition,Semi-Detached,4,364,No,Exterior,Multiple,1149000,41.407,2.141
119,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Semi-Detached,5,465,No,Exterior,Multiple,3370000,41.3986,2.1253
120,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,88,Yes,Exterior,Floor 2,389000,41.384,2.134
121,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,4,85,Yes,Exterior,Floor 6,375000,41.4063,2.165
122,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,113,Yes,Exterior,Mezzanine,378000,41.3835,2.1487
123,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,108,Yes,Exterior,Mezzanine,375000,41.3835,2.1487
124,Barcelona,Sants-Montjuïc,La Bordeta,Good Condition,Flat,4,90,Yes,Exterior,Floor 3,279500,41.3739,2.1438
125,Barcelona,Les Corts,Les Corts,Good Condition,Flat,2,134,Yes,Exterior,Floor 1,670000,41.384,2.134
126,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,4,217,Yes,Exterior,Floor 4,1150000,41.3986,2.1253
127,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,121,Yes,Exterior,Floor 6,1454000,41.384,2.134
128,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,95,Yes,Exterior,Floor 5,1082000,41.384,2.134
129,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,125,Yes,Exterior,Floor 5,690000,41.386,2.157
130,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,2,71,Yes,Exterior,Floor 3,348000,41.3835,2.1487
131,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Flat,3,90,No,Exterior,Ground Floor,490000,41.4072,2.145
132,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,90,Yes,Exterior,Floor 3,760000,41.386,2.157
133,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,148,Yes,Exterior,Mezzanine,1325000,41.386,2.157
134,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,5,206,Yes,Exterior,Floor 4,1095000,41.3948,2.1693
135,Barcelona,Sant Martí,Diagonal Mar I El Front Marítim Del Poblenou,Good Condition,Penthouse,4,147,Yes,Exterior,Floor 5,790000,41.4098,2.2164
136,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,118,Yes,Exterior,Floor 3,975000,41.386,2.157
137,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,3,121,Yes,Exterior,Floor 1,465000,41.4037,2.1735
138,Barcelona,Gràcia,La Salut,Good Condition,Flat,3,91,Yes,Exterior,Floor 1,499000,41.414,2.158
139,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,93,Yes,Exterior,Floor 8,405000,41.3835,2.1487
140,Barcelona,Horta-Guinardó,La Font D'En Fargues,Good Condition,Flat,2,64,No,Exterior,Ground Floor,149000,41.4244,2.1655
141,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,138,Yes,Exterior,Floor 2,850000,41.3948,2.1693
142,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,126,Yes,Exterior,Floor 1,735000,41.3913,2.1397
143,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,130,Yes,Exterior,Floor 1,795000,41.3913,2.1397
144,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,132,Yes,Exterior,Mezzanine,599000,41.386,2.157
145,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,135,Yes,Exterior,Floor 4,895000,41.386,2.157
146,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,115,Yes,Exterior,Floor 4,615000,41.3913,2.1397
147,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,144,Yes,Exterior,Floor 4,630000,41.3913,2.1397
148,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,141,Yes,Exterior,Floor 3,825000,41.386,2.157
149,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,128,Yes,Exterior,Floor 4,749000,41.3913,2.1397
150,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,4,225,Yes,Exterior,Floor 1,1350000,41.3903,2.1078
151,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,3,158,Yes,Exterior,Floor 4,599000,41.3985,2.1802
152,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,2,102,Yes,Exterior,Floor 4,595000,41.3913,2.1397
153,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,173,Yes,Exterior,Floor 4,1600000,41.3948,2.1693
154,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,4,136,Yes,Exterior,Mezzanine,745000,41.3948,2.1693
155,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,6,235,Yes,Exterior,Floor 4,1220000,41.3948,2.1693
156,Barcelona,Ciutat Vella,La Barceloneta,Good Condition,Flat,3,76,No,Exterior,Floor 3,395000,41.3809,2.1894
157,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,122,Yes,Exterior,Floor 1,620000,41.3948,2.1693
158,Barcelona,Sants-Montjuïc,Sants,Good Condition,Flat,3,78,Yes,Exterior,Floor 3,390000,41.3833,2.15
159,Barcelona,Sant Martí,La Verneda I La Pau,Good Condition,Flat,3,79,No,Exterior,Floor 1,150000,41.424,2.203
160,Barcelona,Ciutat Vella,El Raval,Good Condition,Flat,3,108,No,Exterior,Floor 2,298000,41.3809,2.169
161,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,109,Yes,Exterior,Floor 1,380000,41.3913,2.1397
162,Barcelona,Sant Martí,El Parc I La Llacuna Del Poblenou,Good Condition,Flat,3,73,Yes,Exterior,Ground Floor,283000,41.3986,2.1903
